hour_of_day,cash_type,money,Bean,coffee_name,Time_of_Day,Weekday,Month_name,Weekdaysort,Monthsort,Date,Time
10,card,38.7,Liberica,Latte,Morning,Fri,Mar,5,3,45352,10:15:50.520000
12,card,38.7,Excelsa,Hot Chocolate,Afternoon,Fri,Mar,5,3,45352,12:19:22.539000
12,card,38.7,Robusta,Hot Chocolate,Afternoon,Fri,Mar,5,3,45352,12:20:18.089000
13,card,46293,Robusta,Americano,Afternoon,Fri,Mar,5,3,45352,13:46:33.006000
13,card,38.7,Excelsa,Latte,Afternoon,Fri,Mar,5,3,45352,13:48:14.626000
15,card,33.8,Robusta,Americano with Milk,Afternoon,Fri,Mar,5,3,45352,15:39:47.726000
16,card,38.7,Robusta,Hot Chocolate,Afternoon,Fri,Mar,5,3,45352,16:19:02.756000
18,card,33.8,Liberica,Americano with Milk,Night,Fri,Mar,5,3,45352,18:39:03.580000
19,card,38.7,Excelsa,Cocoa,Night,Fri,Mar,5,3,45352,19:22:01.762000
19,card,33.8,Robusta,Americano with Milk,Night,Fri,Mar,5,3,45352,19:23:15.887000
19,card,33.8,Excelsa,Americano with Milk,Night,Fri,Mar,5,3,45352,19:29:17.391000
10,card,46293,Robusta,Americano,Morning,Sat,Mar,6,3,45353,10:22:06.957000
10,card,33.8,Excelsa,Americano with Milk,Morning,Sat,Mar,6,3,45353,10:41:41.249000
11,card,33.8,Excelsa,Americano with Milk,Morning,Sat,Mar,6,3,45353,11:59:45.484000
14,card,46293,Liberica,Americano,Afternoon,Sat,Mar,6,3,45353,14:38:35.535000
16,card,33.8,Arabica,Americano with Milk,Afternoon,Sat,Mar,6,3,45353,16:37:24.475000
17,card,46293,Arabica,Americano,Night,Sat,Mar,6,3,45353,17:34:54.969000
10,card,38.7,Arabica,Latte,Morning,Sun,Mar,7,3,45354,10:27:18.561000
11,card,46293,Excelsa,Cortado,Morning,Sun,Mar,7,3,45354,11:33:56.118000
12,card,46293,Robusta,Americano,Afternoon,Sun,Mar,7,3,45354,12:26:56.098000
13,card,38.7,Arabica,Hot Chocolate,Afternoon,Sun,Mar,7,3,45354,13:09:36.321000
17,card,38.7,Liberica,Cocoa,Night,Sun,Mar,7,3,45354,17:06:40.271000
17,card,46293,Excelsa,Cortado,Night,Sun,Mar,7,3,45354,17:08:45.895000
18,card,33.8,Excelsa,Americano with Milk,Night,Sun,Mar,7,3,45354,18:03:23.369000
18,card,33.8,Robusta,Americano with Milk,Night,Sun,Mar,7,3,45354,18:04:27.946000
18,card,38.7,Arabica,Hot Chocolate,Night,Sun,Mar,7,3,45354,18:08:04.959000
10,card,38.7,Robusta,Latte,Morning,Mon,Mar,1,3,45355,10:03:51.994000
10,card,38.7,Liberica,Latte,Morning,Mon,Mar,1,3,45355,10:54:50.958000
11,card,33.8,Robusta,Americano with Milk,Morning,Mon,Mar,1,3,45355,11:05:16.184000
14,card,24.0,Liberica,Espresso,Afternoon,Mon,Mar,1,3,45355,14:04:37.734000
9,card,38.7,Excelsa,Latte,Morning,Tue,Mar,2,3,45356,09:59:52.651000
14,card,38.7,Excelsa,Latte,Afternoon,Tue,Mar,2,3,45356,14:34:55.963000
17,card,38.7,Arabica,Latte,Night,Tue,Mar,2,3,45356,17:34:06.043000
17,card,38.7,Excelsa,Hot Chocolate,Night,Tue,Mar,2,3,45356,17:35:25.021000
17,card,38.7,Excelsa,Cocoa,Night,Tue,Mar,2,3,45356,17:36:28.571000
17,card,38.7,Robusta,Hot Chocolate,Night,Tue,Mar,2,3,45356,17:37:13.659000
17,card,38.7,Excelsa,Hot Chocolate,Night,Tue,Mar,2,3,45356,17:38:09.354000
17,card,46293,Liberica,Cortado,Night,Tue,Mar,2,3,45356,17:56:15.776000
18,card,38.7,Arabica,Hot Chocolate,Night,Tue,Mar,2,3,45356,18:01:31.242000
13,card,46293,Arabica,Americano,Afternoon,Wed,Mar,3,3,45357,13:24:07.667000
13,card,46293,Robusta,Cortado,Afternoon,Wed,Mar,3,3,45357,13:25:14.351000
14,card,38.7,Robusta,Cappuccino,Afternoon,Wed,Mar,3,3,45357,14:52:01.761000
14,card,38.7,Robusta,Cappuccino,Afternoon,Wed,Mar,3,3,45357,14:53:18.344000
10,card,38.7,Arabica,Hot Chocolate,Morning,Thu,Mar,4,3,45358,10:18:40.543000
11,card,38.7,Excelsa,Latte,Morning,Thu,Mar,4,3,45358,11:03:58.976000
15,card,46293,Arabica,Americano,Afternoon,Thu,Mar,4,3,45358,15:40:22.606000
15,card,33.8,Robusta,Americano with Milk,Afternoon,Thu,Mar,4,3,45358,15:41:28.784000
10,card,46293,Liberica,Cortado,Morning,Fri,Mar,5,3,45359,10:34:41.283000
12,card,38.7,Robusta,Cappuccino,Afternoon,Fri,Mar,5,3,45359,12:22:28.653000
13,card,46293,Liberica,Americano,Afternoon,Fri,Mar,5,3,45359,13:53:02.042000
14,card,46293,Liberica,Americano,Afternoon,Fri,Mar,5,3,45359,14:44:12.686000
14,card,46293,Robusta,Americano,Afternoon,Fri,Mar,5,3,45359,14:45:11.048000
14,card,33.8,Liberica,Americano with Milk,Afternoon,Fri,Mar,5,3,45359,14:46:11.155000
18,card,38.7,Arabica,Latte,Night,Fri,Mar,5,3,45359,18:57:51.451000
18,card,38.7,Liberica,Latte,Night,Fri,Mar,5,3,45359,18:59:24.941000
12,card,24.0,Excelsa,Espresso,Afternoon,Sat,Mar,6,3,45360,12:05:15.559000
12,card,46293,Robusta,Americano,Afternoon,Sat,Mar,6,3,45360,12:07:38.275000
12,card,38.7,Robusta,Cappuccino,Afternoon,Sat,Mar,6,3,45360,12:09:47.714000
12,card,46293,Arabica,Americano,Afternoon,Sat,Mar,6,3,45360,12:13:03.521000
12,card,46293,Liberica,Americano,Afternoon,Sat,Mar,6,3,45360,12:14:26.458000
13,card,38.7,Arabica,Latte,Afternoon,Sat,Mar,6,3,45360,13:09:22.229000
13,card,33.8,Arabica,Americano with Milk,Afternoon,Sat,Mar,6,3,45360,13:41:06.167000
13,card,46293,Robusta,Cortado,Afternoon,Sat,Mar,6,3,45360,13:53:10.408000
13,card,38.7,Robusta,Cappuccino,Afternoon,Sat,Mar,6,3,45360,13:54:36.828000
14,card,33.8,Excelsa,Americano with Milk,Afternoon,Sat,Mar,6,3,45360,14:08:01.829000
14,card,38.7,Arabica,Hot Chocolate,Afternoon,Sat,Mar,6,3,45360,14:26:52.873000
19,card,38.7,Arabica,Cappuccino,Night,Sat,Mar,6,3,45360,19:17:57.572000
19,card,38.7,Robusta,Hot Chocolate,Night,Sat,Mar,6,3,45360,19:19:10.084000
11,card,24.0,Liberica,Espresso,Morning,Sun,Mar,7,3,45361,11:19:20.764000
19,card,38.7,Arabica,Latte,Night,Sun,Mar,7,3,45361,19:34:00.478000
19,card,46293,Liberica,Cortado,Night,Sun,Mar,7,3,45361,19:35:54.712000
11,card,38.7,Arabica,Cappuccino,Morning,Mon,Mar,1,3,45362,11:32:58.781000
16,card,46293,Arabica,Americano,Afternoon,Mon,Mar,1,3,45362,16:24:26.401000
16,card,38.7,Excelsa,Latte,Afternoon,Mon,Mar,1,3,45362,16:25:45.664000
16,card,46293,Excelsa,Cortado,Afternoon,Mon,Mar,1,3,45362,16:50:49.608000
10,card,46293,Excelsa,Americano,Morning,Tue,Mar,2,3,45363,10:15:34.543000
10,card,46293,Arabica,Cortado,Morning,Tue,Mar,2,3,45363,10:16:24.886000
11,card,38.7,Robusta,Hot Chocolate,Morning,Tue,Mar,2,3,45363,11:20:45.632000
12,card,33.8,Excelsa,Americano with Milk,Afternoon,Tue,Mar,2,3,45363,12:46:23.275000
12,card,46293,Excelsa,Americano,Afternoon,Tue,Mar,2,3,45363,12:47:26.027000
16,card,46293,Robusta,Americano,Afternoon,Tue,Mar,2,3,45363,16:15:43.325000
11,card,38.7,Excelsa,Hot Chocolate,Morning,Wed,Mar,3,3,45364,11:06:43.038000
11,card,46293,Excelsa,Americano,Morning,Wed,Mar,3,3,45364,11:48:16.753000
12,card,46293,Arabica,Americano,Afternoon,Wed,Mar,3,3,45364,12:18:06.336000
12,card,46293,Robusta,Americano,Afternoon,Wed,Mar,3,3,45364,12:19:05.128000
14,card,33.8,Excelsa,Americano with Milk,Afternoon,Wed,Mar,3,3,45364,14:26:40.875000
15,card,24.0,Robusta,Espresso,Afternoon,Wed,Mar,3,3,45364,15:40:22.261000
15,card,24.0,Robusta,Espresso,Afternoon,Wed,Mar,3,3,45364,15:41:20.424000
16,card,24.0,Excelsa,Espresso,Afternoon,Wed,Mar,3,3,45364,16:47:09.373000
10,card,38.7,Robusta,Latte,Morning,Thu,Mar,4,3,45365,10:28:33.017000
10,card,38.7,Liberica,Hot Chocolate,Morning,Thu,Mar,4,3,45365,10:29:34.283000
13,card,46293,Arabica,Cortado,Afternoon,Thu,Mar,4,3,45365,13:27:29.536000
13,card,46293,Liberica,Americano,Afternoon,Thu,Mar,4,3,45365,13:28:24.527000
13,card,33.8,Robusta,Americano with Milk,Afternoon,Thu,Mar,4,3,45365,13:51:59.905000
13,card,24.0,Excelsa,Espresso,Afternoon,Thu,Mar,4,3,45365,13:52:56.248000
15,card,38.7,Liberica,Latte,Afternoon,Thu,Mar,4,3,45365,15:20:38.367000
16,card,33.8,Excelsa,Americano with Milk,Afternoon,Thu,Mar,4,3,45365,16:04:09.506000
16,card,24.0,Arabica,Espresso,Afternoon,Thu,Mar,4,3,45365,16:54:38.202000
18,card,38.7,Robusta,Hot Chocolate,Night,Thu,Mar,4,3,45365,18:58:55.854000
